,Date,Unreg_Inflow,Live_Storage,Scenario,Name
1,Apr-23,77000,358000,most,Blue Mesa
2,May-23,327000,589000,most,Blue Mesa
3,Jun-23,312000,747000,most,Blue Mesa
4,Jul-23,117000,739000,most,Blue Mesa
5,Aug-23,49000,694000,most,Blue Mesa
6,Sep-23,26000,629000,most,Blue Mesa
7,Oct-23,30000,596000,most,Blue Mesa
8,Nov-23,28000,592000,most,Blue Mesa
9,Dec-23,25000,578000,most,Blue Mesa
10,Jan-24,23000,568000,most,Blue Mesa
11,Feb-24,24000,562000,most,Blue Mesa
12,Mar-24,33000,551000,most,Blue Mesa
13,Apr-24,60000,555000,most,Blue Mesa
14,May-24,200000,569000,most,Blue Mesa
15,Jun-24,255000,751000,most,Blue Mesa
16,Jul-24,85000,707000,most,Blue Mesa
17,Aug-24,48000,654000,most,Blue Mesa
18,Sep-24,31000,613000,most,Blue Mesa
19,Oct-24,33000,579000,most,Blue Mesa
20,Nov-24,30000,592000,most,Blue Mesa
21,Dec-24,26000,583000,most,Blue Mesa
22,Jan-25,25000,579000,most,Blue Mesa
23,Feb-25,23000,577000,most,Blue Mesa
24,Mar-25,38000,590000,most,Blue Mesa
25,Apr-25,78000,631000,most,Blue Mesa
26,May-25,204000,679000,most,Blue Mesa
27,Jun-25,251000,820000,most,Blue Mesa
28,Jul-25,86000,794000,most,Blue Mesa
29,Aug-25,55000,757000,most,Blue Mesa
30,Sep-25,35000,709000,most,Blue Mesa
31,Oct-25,36000,666000,most,Blue Mesa
32,Nov-25,31000,647000,most,Blue Mesa
33,Dec-25,26000,582000,most,Blue Mesa
34,Jan-26,25000,570000,most,Blue Mesa
35,Feb-26,23000,563000,most,Blue Mesa
36,Mar-26,38000,567000,most,Blue Mesa
37,Apr-23,77000,358000,min,Blue Mesa
38,May-23,327000,589000,min,Blue Mesa
39,Jun-23,312000,747000,min,Blue Mesa
40,Jul-23,117000,739000,min,Blue Mesa
41,Aug-23,49000,694000,min,Blue Mesa
42,Sep-23,26000,629000,min,Blue Mesa
43,Oct-23,30000,596000,min,Blue Mesa
44,Nov-23,28000,592000,min,Blue Mesa
45,Dec-23,25000,578000,min,Blue Mesa
