Label,Period,Benefit,Cost
0,0,0.07766831,0.17865631
0,1,0.0773538,0.17882416
0,2,0.08182264,0.19490583
0,3,0.08107646,0.19532015
0,4,0.08174837,0.1951721
0,5,0.07751768,0.17842242
0,6,0.07336546,0.16263983
0,7,0.0775711,0.17899334
0,8,0.08140765,0.19492105
0,9,0.07297721,0.16280183
0,10,0.07335296,0.16295119
0,11,0.07720054,0.17911156
0,12,0.07710979,0.17898513
0,13,0.07733854,0.17847132
0,14,0.08111499,0.19495827
0,15,0.08142979,0.19498921
0,16,0.08159173,0.19467535
0,17,0.07777721,0.17897351
0,18,0.07337632,0.1621945
0,19,0.07722919,0.17908746
0,20,0.08151944,0.19515702
0,21,0.07355904,0.16292732
0,22,0.073686,0.16260469
0,23,0.07733913,0.17885887
0,24,0.07722588,0.17911997
0,25,0.07761567,0.17900582
0,26,0.08156827,0.19482827
0,27,0.08166105,0.19527839
0,28,0.08117241,0.19484567
0,29,0.07723295,0.17883459
0,30,0.0734324,0.16280221
0,31,0.07781251,0.17902107
0,32,0.08185197,0.194789
0,33,0.07348294,0.16266662
0,34,0.07355219,0.16245713
0,35,0.07724623,0.17875221
1,0,0.04050927,0.05669693
1,1,0.0405246,0.05676345
1,2,0.04458217,0.06482728
1,3,0.0445758,0.064938
1,4,0.04468959,0.06481507
1,5,0.04058229,0.05685328
1,6,0.03653133,0.0488717
1,7,0.0404826,0.05671056
1,8,0.04463578,0.06472699
1,9,0.03639611,0.04850088
1,10,0.03661171,0.04857097
1,11,0.04050559,0.05664124
1,12,0.04062398,0.0568788
1,13,0.04049842,0.05688441
1,14,0.04466715,0.06492878
1,15,0.04480512,0.06495249
1,16,0.04445458,0.06469018
1,17,0.04056077,0.05677868
1,18,0.03646406,0.04876676
1,19,0.04065978,0.05673873
1,20,0.04464701,0.06467752
1,21,0.03662815,0.04873907
1,22,0.03648092,0.04862125
1,23,0.04045055,0.05687085
1,24,0.04070944,0.05660099
1,25,0.04055797,0.05672729
1,26,0.04449783,0.0648852
1,27,0.04466355,0.06478026
1,28,0.04449462,0.06482744
1,29,0.04063753,0.05665691
1,30,0.03654699,0.04882853
1,31,0.04054115,0.05665842
1,32,0.04466679,0.06479065
1,33,0.03630716,0.04853194
1,34,0.03643103,0.04856309
1,35,0.04055763,0.05674916
2,0,0.02824884,0.04462947
2,1,0.02829056,0.04457741
2,2,0.032596,0.04866228
2,3,0.03250373,0.0484814
2,4,0.03238154,0.0487278
2,5,0.0283991,0.04453869
2,6,0.0243108,0.04048663
2,7,0.02850563,0.04461832
2,8,0.03240118,0.04861545
2,9,0.02438997,0.04050239
2,10,0.02435131,0.04046652
2,11,0.02827603,0.04459008
2,12,0.02824357,0.04444044
2,13,0.02833995,0.04458892
2,14,0.03211955,0.04871607
2,15,0.03231438,0.04864153
2,16,0.03251018,0.04863542
2,17,0.02844512,0.04457104
2,18,0.02446104,0.04062982
2,19,0.02839653,0.04459176
2,20,0.03220531,0.04869899
2,21,0.02430197,0.04054781
2,22,0.02425728,0.04052937
2,23,0.02834534,0.04449691
2,24,0.02829749,0.04460798
2,25,0.02851072,0.04464975
2,26,0.03247032,0.04884912
2,27,0.03247466,0.048613
2,28,0.03253644,0.04879631
2,29,0.02843781,0.04459868
2,30,0.02437566,0.04044652
2,31,0.02835864,0.04450972
2,32,0.03242928,0.04868595
2,33,0.02421922,0.0405611
2,34,0.02424901,0.04035158
2,35,0.02859181,0.04453162
